cycle,voltage,current,temperature,true_soc
1,11.567,-48.704,25.05,99.9
2,11.726,-45.085,25.09,99.81
3,11.518,-49.882,25.14,99.71
4,11.87,-42.01,25.19,99.63
5,11.891,-41.793,25.23,99.55
6,11.858,-42.835,25.27,99.46
7,11.873,-42.567,25.31,99.37
8,11.715,-44.201,25.36,99.29
9,11.479,-49.916,25.41,99.19
10,14.184,5.316,25.41,99.2
11,14.449,10.481,25.42,99.22
12,14.539,11.11,25.43,99.24
13,14.448,9.932,25.44,99.26
14,14.357,8.423,25.45,99.28
15,13.377,-11.262,25.46,99.25
16,13.384,-11.345,25.47,99.23
17,13.387,-11.842,25.49,99.21
18,13.394,-11.998,25.5,99.18
19,13.345,-12.981,25.51,99.16
20,13.452,-11.202,25.52,99.14
21,13.32,-13.511,25.54,99.11
22,13.257,-14.634,25.55,99.08
23,13.435,-10.295,25.56,99.06
24,13.245,-14.277,25.58,99.03
25,13.213,-14.429,25.59,99.0
26,13.277,-13.928,25.6,98.97
27,13.435,-11.437,25.62,98.95
28,13.351,-12.112,25.63,98.93
29,13.361,-12.153,25.64,98.9
30,13.454,-10.706,25.65,98.88
31,13.395,-11.969,25.66,98.86
32,13.342,-12.7,25.68,98.83
33,13.401,-10.884,25.69,98.81
34,13.289,-12.286,25.7,98.78
35,13.355,-12.043,25.71,98.76
36,13.393,-10.357,25.72,98.74
37,13.366,-11.739,25.73,98.72
38,13.223,-13.545,25.75,98.69
39,13.186,-14.773,25.76,98.66
40,13.245,-14.2,25.77,98.63
41,13.23,-14.067,25.79,98.6
42,13.263,-14.26,25.8,98.57
43,13.208,-14.086,25.82,98.55
44,13.176,-14.798,25.83,98.52
45,13.392,-10.878,25.84,98.5
46,13.318,-12.439,25.86,98.47
47,13.318,-13.098,25.87,98.44
48,13.258,-14.216,25.88,98.42
49,13.157,-14.946,25.9,98.39
50,13.457,-10.432,25.91,98.36
51,13.17,-14.492,25.92,98.34
52,13.162,-14.508,25.94,98.31
53,13.226,-13.437,25.95,98.28
54,13.241,-12.918,25.96,98.25
55,13.371,-11.285,25.97,98.23
56,13.265,-13.848,25.99,98.2
57,13.198,-13.602,26.0,98.18
58,13.206,-13.881,26.02,98.15
59,13.256,-14.341,26.03,98.12
60,13.213,-13.725,26.04,98.09
61,13.327,-12.769,26.06,98.07
62,13.359,-10.848,26.07,98.05
63,13.287,-11.742,26.08,98.02
64,13.342,-12.503,26.09,98.0
65,13.327,-10.908,26.1,97.98
66,13.161,-14.415,26.12,97.95
67,13.418,-10.021,26.13,97.93
68,13.242,-13.728,26.14,97.9
69,13.215,-12.994,26.15,97.87
70,13.393,-10.645,26.16,97.85
71,13.285,-12.896,26.18,97.83
72,13.275,-13.577,26.19,97.8
73,13.22,-13.812,26.2,97.77
74,13.31,-11.067,26.22,97.75
75,13.29,-12.627,26.23,97.72
76,13.124,-14.822,26.24,97.69
77,13.314,-11.878,26.26,97.67
78,13.164,-14.365,26.27,97.64
79,13.16,-14.454,26.28,97.61
80,13.296,-12.556,26.3,97.59
81,13.269,-12.955,26.31,97.56
82,13.254,-13.754,26.32,97.53
83,13.213,-14.485,26.34,97.51
84,13.26,-12.93,26.35,97.48
85,13.168,-13.823,26.36,97.45
86,13.323,-11.014,26.38,97.43
87,13.231,-12.436,26.39,97.4
88,13.204,-14.291,26.4,97.38
89,13.257,-13.124,26.42,97.35
90,13.263,-12.792,26.43,97.32
91,13.22,-13.836,26.44,97.3
92,13.214,-12.765,26.45,97.27
93,13.238,-12.673,26.47,97.25
94,13.34,-11.949,26.48,97.22
95,13.333,-11.243,26.49,97.2
96,13.236,-12.46,26.5,97.17
97,13.361,-10.567,26.51,97.15
98,13.333,-11.11,26.52,97.13
99,13.279,-11.543,26.54,97.11
100,11.475,-47.831,26.58,97.01
101,11.783,-42.809,26.63,96.93
102,11.52,-46.941,26.67,96.83
103,11.694,-43.321,26.72,96.75
104,11.845,-40.976,26.76,96.66
105,11.782,-42.141,26.8,96.58
106,11.346,-49.396,26.85,96.48
107,11.575,-46.387,26.9,96.39
108,11.475,-48.378,26.94,96.29
109,11.466,-47.486,26.99,96.2
110,13.15,-13.239,27.01,96.17
111,13.273,-12.286,27.02,96.15
112,13.341,-11.032,27.03,96.12
113,13.206,-11.817,27.04,96.1
114,13.275,-12.247,27.05,96.08
115,13.171,-13.599,27.07,96.05
116,13.26,-12.232,27.08,96.02
117,13.219,-12.106,27.09,96.0
118,13.213,-13.455,27.1,95.97
119,13.332,-10.363,27.11,95.95
120,13.315,-10.65,27.13,95.93
121,13.284,-10.385,27.14,95.91
122,13.215,-12.681,27.15,95.88
123,13.146,-13.95,27.16,95.86
124,13.201,-13.641,27.18,95.83
125,13.186,-13.335,27.19,95.8
126,13.123,-13.899,27.2,95.77
127,13.284,-11.358,27.21,95.75
128,13.213,-11.656,27.23,95.73
129,13.146,-13.736,27.24,95.7
130,13.232,-11.901,27.25,95.68
131,13.325,-10.774,27.26,95.66
132,13.2,-12.317,27.27,95.63
133,13.246,-11.185,27.29,95.61
134,13.206,-12.284,27.3,95.58
135,13.097,-14.292,27.31,95.56
136,13.231,-12.524,27.33,95.53
137,13.086,-13.964,27.34,95.5
138,13.141,-13.148,27.35,95.48
139,13.192,-13.102,27.37,95.45
140,13.182,-13.012,27.38,95.42
141,13.112,-14.808,27.39,95.39
142,13.099,-14.837,27.41,95.37
143,13.328,-10.564,27.42,95.34
144,13.217,-11.086,27.43,95.32
145,13.301,-10.874,27.44,95.3
146,13.145,-14.304,27.45,95.27
147,13.02,-14.841,27.47,95.24
148,13.104,-13.264,27.48,95.22
149,13.047,-14.254,27.5,95.19
150,14.191,7.34,27.5,95.2
151,14.492,13.621,27.52,95.23
152,14.359,11.857,27.53,95.25
153,14.107,6.343,27.54,95.27
154,14.477,13.771,27.55,95.29
155,14.585,14.761,27.56,95.32
156,14.194,7.845,27.57,95.34
157,14.306,9.939,27.58,95.36
158,14.294,9.813,27.59,95.38
159,14.141,6.589,27.6,95.39
160,14.394,12.029,27.61,95.41
161,14.207,6.833,27.62,95.43
162,14.334,9.482,27.63,95.45
163,14.23,8.747,27.64,95.46
164,14.466,13.902,27.65,95.49
165,13.111,-14.078,27.66,95.46
166,13.143,-13.037,27.68,95.44
167,13.299,-10.639,27.69,95.42
168,13.111,-14.304,27.7,95.39
169,13.114,-14.917,27.72,95.36
170,13.148,-12.518,27.73,95.33
171,13.258,-11.127,27.74,95.31
172,13.218,-12.444,27.75,95.29
173,13.276,-11.247,27.76,95.26
174,13.071,-14.924,27.78,95.23
175,13.236,-12.021,27.79,95.21
176,13.242,-11.071,27.8,95.19
177,13.021,-14.857,27.82,95.16
178,13.222,-11.1,27.83,95.14
179,13.163,-13.797,27.84,95.11
180,13.092,-13.352,27.86,95.08
181,13.228,-11.569,27.87,95.06
182,13.136,-13.564,27.88,95.03
183,13.102,-14.636,27.9,95.0
184,13.273,-11.166,27.91,94.98
185,13.04,-14.723,27.92,94.95
186,13.1,-13.845,27.93,94.92
187,13.09,-14.557,27.95,94.89
188,13.072,-13.834,27.96,94.87
